ea	fascode	idw	h1	h3	h3a	h4	h5	h11a	h11b	h11c	h11d	h11e	h11f	h11g	h11h	h11i	h11j	h11k	h11l	h11m	h11n	h11o	h12a	h12b	h12c	h12d	h12e	h12f	h12g	h12h	h12i	h12j	h12k	h12l	h12m	h12n	h13a	h13b	h13c	h13d	h13e	h13f	h13g	h13h	h13i	h14a	h14b	h14c	h14d	h14e	h14f	h14g	h15	h17	h17a	h18	h19	h25a	h25b	h25c	h25d	h25e	h25f	h25g	h25h	h25i	h25j	h25k	h25l	h25m	h25n	h25o	h25q	h26a	h26b	h26c	h26d	h26e	h26f	h26g	h26h	h26i	h26j	h26k	h26l	h26m	h26n	h27a	h27b	h27c	h27d	h27e	h27f	h27g	h27h	h27i	h27j	h28a	h28b	h28c	h28d	h28e	h28f	h28g	h28h	h28i	h29a	h29b	h29c	h29d	h29e	h29f	h29g	h29h	commid14	h30	h32	h32a	h33	h34	h40a	h40b	h40c	h40d	h40e	h40f	h40g	h40h	h40i	h40j	h40k	h40l	h40m	h40n	h40o	h41a	h41b	h41c	h41d	h41e	h41f	h41g	h41h	h41i	h41k	h41l	h42a	h42b	h42c	h42d	h42e	h42f	h42g	h42h	h42i	h42j	h42k	h42l	h42m	h42n	h42o	h42p	h43a	h43b	h43c	h44a	h44b	h44c	h44d	h44e	h44f	h44g	h44h	h44i	h44j	h44k	h47	h47a	h48	h49	h55a	h55b	h55c	h55d	h55e	h55f	h55g	h55h	h56a	h56b	h56c	h56d	h56e	h57a	h57b	h57c	h57d	h57e	h57f	h57g	h57h	h57i	h57j	h57k	h57l	h57m	h57n	h58a	h58b	h58c	h58d	h58e	h58f	h58g	h58h	h58i	h59a	h59b	h59c	h59d	h59e	h59f	h59g	h59h	h59i	h59j	h59k	h59l	h59m	h60a	h60b	h60c	h60d	h60e	h60f	h60g	h60h	h60i	h60j	h60k	h6_1	h6_4	h6_2	h6_3	h7_1	h7_4	h7_2	h7_3	h8_1	h8_4	h8_2	h8_3	h20_2	h20_1	h20_3	h20_4	h21_2	h21_1	h21_3	h21_4	h22_2	h22_1	h22_3	h22_4	h35_7	h35_6	h35_1	h35_3	h35_4	h35_5	h35_2	h36_7	h36_6	h36_1	h36_3	h36_4	h36_5	h36_2	h37_7	h37_6	h37_1	h37_3	h37_4	h37_5	h37_2	h50_6	h50_1	h50_4	h50_3	h50_7	h50_5	h50_2	h51_6	h51_1	h51_4	h51_3	h51_7	h51_5	h51_2	h52_6	h52_1	h52_4	h52_3	h52_7	h52_5	h52_2	facwght14s	fcode14
"159"	"1591051"	"159"	1	1	95	1994	1	1	1	1	1	1	3	1	2	1	1	1	2	2	2	2	2	3	1	1	1	1	1	1	3	1	1	2	1	3	1	1	1	1	1	1	1	1	1	3	3	3	1	3	3	3	1	1	95	1994	1	2	2	1	1	1	2	2	1	2	2	2	2	2	1	1	1	1	2	1	1	1	1	1	2	2	1	3	1	1	1	1	3	1	1	1	1	1	2	1	1	3	1	3	3	3	3	3	3	3	2	1	1	1	2	2	2	1	"3301"	1	1	95	1994	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	1	2	2	2	3	2	1	4	95	2006	1	1	1	2	2	1	1	2	1	1	1	2	2	2	1	1	1	1	2	1	1	1	2	2	2	2	1	1	1	1	1	1	3	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	1	3	2	2	1	1	2	2	2	1	1	2	2	1	1	1	1	3	3	3	3	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	3	1	1	1	1	3	1		3	3	3	3		3		1	1	1	1		1	1	1	3	1	3	1	1	3	3		3		3	3	3	3		3		3	3	0.23076923191547394	"33011051"
"160"	"1601011"	"160"	1	3	95	2011	1	1	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	3	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	3	3	1	1	3	3	3	1	3	95	2011	1	1	1	1	1	2	2	3	3	2	1	1	1	1	1	1	2	2	2	2	1	1	3	2	2	2	2	3	1	1	1	1	3	1	2	2	2	2	3	1	1	3	1	3	3	3	3	3	3	3	2	1	1	3	3	3	1	1	"3302"	1	4	95	2004	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	3	2	1	1	1	3	1	2	1	1	1	2	1	1	2	1	1	1	1	3	1	1	3	3	3	3	3	1	1	1	3	1	1	2	3	3	3	1	4	95	2004	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	3	1	3		3		3	1	1	1	1	1	1	1	1					3	1	1	1	1	3	1		3	3	3	3		3		1	1	1	1		1	1	3	1	3	1	3	3	1		3		3					1		1			0.5	"33021011"
"160"	"1601031"	"160"	1	3	7	2000	3	1	2	1	3	2	3	1	3	2	2	2	3	3	3	2	2	3	1	2	3	2	1	1	2	3	3	1	3	3	2	3	1	2	2	1	1	1	1	3	3	3	3	3	3	3	1	3	7	2000	3	2	1	1	2	1	2	2	3	2	2	2	1	1	1	2	1	2	2	2	2	2	3	3	3	3	2	3	2	1	1	1	3	2	3	2	2	2	3	2	2	3	1	3	3	3	3	3	3	3	3	2	1	2	2	2	1	1	"3302"	1	4	95	2003	1	2	1	1	2	2	1	2	2	2	1	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	1	2	1	2	2	2	1	2	2	1	2	2	2	2	3	3	3	3	1	1	2	1	2	2	2	3	2	3	2	4	95	2003	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	1	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	1	1	1	3	3	3	3	3	3	3	3	3	1	3	3	1	3	2	2	2	2	2	2																									1	1	1	1	1	1	1	1	1	3	3	3	3	3			1	1	1	1	1	1	1	1	1	3	3	3	1	1	1	1											0.5	"33021031"
"160"	"1601070"	"160"	1	3	95	2009	1	1	2	1	1	2	2	1	2	2	2	1	2	2	2	2	2	3	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	2	2	1	1	1	1	3	3	3	3	3	3	3	1	3	95	2009	1	1	2	1	1	1	1	1	3	3	2	2	2	2	1	1	2	1	1	1	2	1	1	1	2	2	2	3	1	1	1	1	3	1	1	2	2	2	3	1	1	3	3	3	3	3	3	3	3	3	2	1	1	1	1	2	2	2	"3302"	1	4	95	2005	1	2	2	2	2	2	2	2	1	2	3	2	2	1	2	2	2	2	3	3	1	2	1	3	3	1	1	1	2	2	1	3	3	2	2	1	1	1	3	3	3	2	3	3	3	3	2	2	1	2	2	3	2	3	2	3	1	4	95	2005	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	3	3	2	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	2	2	2	2	1	1	1	3	3	3	1								3	1	3	3		1							3	3	3	3	3	3	3															1	1	3	1	3	3	3	3	3		3				1	1		1				0.5	"33021070"
"163"	"1611011"	"163"	1	1	6	2009	1	1	2	2	3	2	3	2	2	1	1	2	1	1	1	2	3	2	2	3	1	1	1	2	3	1	2	2	1	1	2	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	1	1	6	2009	1	2	2	1	1	1	2	2	1	2	2	1	2	2	1	1	1	2	2	2	2	2	2	1	2	2	2	3	1	1	1	1	3	1	1	1	2	1	3	2	2	2	1	3	3	1	3	1	1	3	2	1	1	2	3	3	3	1	"3303"	1	4	95	2013	1	2	1	1	3	2	2	3	1	2	3	1	3	2	3	2	2	2	3	3	2	3	1	2	3	2	2	1	3	2	2	2	3	3	1	1	2	1	3	3	3	3	3	3	3	3	1	2	2	1	2	2	3	3	3	3	1	4	95	2010	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	2	1	2	1	2	2	3	2	2	2	1	1	1	1	1	1	1	3	2	1	2	1	1	3	1	1	3	3	3	3	3	3	1	2	1	2	1	1	3	1	3	2	2	2	1	3	3	1	3			3				1		3	3	3	3									1	3	3	1	3	1	1	1			1		1	1								1	1	3	1	1	1	3	3	3		3	3	3		1	3		3	3	3		0.75	"33041011"
"161"	"1611021"	"161"	1	1	7	2011	1	1	3	2	2	3	1	1	1	1	2	1	2	2	2	2	1	3	3	2	3	2	2	1	3	1	3	2	2	2	2	3	1	3	3	1	1	1	1	3	3	1	1	3	3	3	1	1	7	2011	1	2	2	1	1	1	3	2	1	3	3	2	1	3	1	1	2	2	2	2	3	2	3	3	1	3	2	3	1	1	1	1	3	1	2	3	3	3	3	1	1	3	1	3	2	2	3	3	1	3	2	1	1	3	1	3	2	2	"3304"	1	1	7	2011	1	2	1	1	3	1	2	1	1	2	3	3	3	1	2	2	1	2	3	2	2	1	1	2	3	1	2	2	2	2	2	2	3	2	3	1	1	1	2	3	3	2	3	1	1	3	2	2	2	1	2	1	2	3	3	3	2	4	95	2010	1	1	3	2	2	1	2	2	2	1	2	2	2	2	1	1	2	2	2	2	2	3	2	2	2	2	1	3	1	1	1	1	3	2	2	2	2	2	1	1	1	2	3	3	3	1	3	3	1	2	1	1	1	1	2	2	2	3	2	2	2	1	3	1	3	3		1		1				1	1	1	1	1	3	1	1		1			3	3	3	3	3	3	3															1	3	1	3	3	3	3	3		1					1							0.7777777910232544	"33041021"
"161"	"1611503"	"161"	1	1	4	1989	1	2	1	2	1	2	2	1	1	2	2	2	2	2	2	2	2	3	2	2	3	2	1	1	2	3	2	2	3	2	1	2	2	3	3	2	1	1	1	3	3	1	3	3	3	3	1	1	4	1989	1	2	2	1	1	1	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	3	3	1	1	1	1	3	2	2	2	2	2	3	1	1	3	1	3	3	2	3	3	2	3	2	2	2	2	2	3	2	1	"3304"	1	1	4	1989	1	3	1	1	2	2	2	2	2	1	3	1	2	1	2	2	2	2	2	3	1	3	1	2	2	2	2	2	2	1	1	2	3	3	1	1	2	2	3	3	2	1	3	3	1	3	2	1	2	1	2	2	3	3	3	3	2	3	6	2009	1	1	1	1	3	2	2	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2	2	2	2	1	1	2	2	1	1	3	3	2	2	2	1	1	1	1	2	3	3	3	3	3	3	1	2	1	2	1	2	2	2	3	2	2	1	2	1	1	1	1	1	3	3	3		1	1	1	1	1	1	1	3	1	3	3	1		1	1	1	1	1	1	1	3	1	3	3	3	3	3		3	1	1	1	1	1		1	1	3	1	3	3	3	3	3		3					1		1					0.7777777910232544	"33041503"
"162"	"1621011"	"162"	1	1	4	2012	1	1	2	1	1	3	2	1	1	2	1	2	2	2	2	3	2	3	2	2	3	1	2	1	1	3	2	1	2	3	1	3	2	3	2	1	3	2	2	2	3	2	2	2	3	3	1	1	4	2012	1	1	1	1	1	2	3	3	3	2	2	1	2	2	2	2	2	1	1	2	2	2	3	2	3	3	3	3	2	2	1	2	3	1	2	1	2	2	3	2	2	3	1	3	3	2	3	2	1	3	3	2	2	2	1	3	2	1	"3305"	1	4	95	2010	1	2	1	1	2	2	1	2	1	2	3	2	1	1	3	2	2	2	3	3	3	2	2	2	1	3	2	1	1	1	2	1	1	3	1	1	1	1	1	3	2	1	3	3	3	3	2	1	3	1	1	2	2	3	3	3	2	4	95	2010	1	1	1	1	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	2	1	1	1	1	1	1	1	3	3	1	2	1	2	1	3	3	3	3	3	3	3	3	3	3	2	1	2	2	1	2	2	2	2	2	1	2	3	1	1	1		1	1	1					1	3	1	3	1		3				1		3	3	3	3	3	3	3															1	1	3	3	1	3	3	3	3			3			1	1			1			0.6666666865348816	"33051011"
"162"	"1621021"	"162"	1	1	2	1998	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	1	1	1	2	2	1	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	3	3	3	1	1	2	1998	1	1	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	3	1	3	3	3	3	3	3	3	2	1	1	1	3	2	2	1	"3305"	1	4	95	2013	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	2	1	2	3	2	1	2	1	2	3	1	1	1	1	1	1	1	3	2	1	1	2	2	2	2	2	1	3	3	3	3	1	1	1	1	1	1	2	3	1	3	1	4	95	2010	1	1	1	2	2	1	3	1	1	1	1	2	1	2	1	1	2	1	2	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	1	2	2	1	2	1	2	2	2	1	1	1	1	1	1	3	3	3	1	1	1	1		1	1	3	3	3	3			1	1			1	1	3	3	3	3	3	1	1													1	1	1	1	3	3	1	1	3	1	3			1		3		3				0.6666666865348816	"33051021"
"161"	"1621031"	"161"	1	1	2	1987	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	3	2	2	2	1	2	1	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	3	3	1	1	3	3	3	1	1	2	1987	1	1	1	1	1	1	2	2	1	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	3	1	3	3	1	3	3	3	3	2	1	2	1	2	2	2	1	"3304"	1	4	7	2006	1	1	1	1	2	2	1	2	1	2	3	2	2	2	2	2	2	3	2	1	2	2	2	2	3	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	3	3	3	3	1	2	2	3	2	2	2	3	3	3	2	4	7	2006	1	1	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	1	3	3	3	3	3	3	3	3	3	3	3	3	1	2	2	1	2	2	2	2	2	2	2	1	1	1	1	3	3	3	3	3	3	3	3	1	1	1	1	3	3	3	3	3	3	3	3	1	1	1	3	3	3	3	3	1	3					1		1					3	1	3	3	3	3	3		3							1						0.7777777910232544	"33051031"
"162"	"1621050"	"162"	1	1	2	2014	1	1	2	2	2	2	1	2	2	1	1	1	2	2	2	2	1	3	1	3	3	1	2	1	2	3	3	1	1	3	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	1	1	2	2014	1	1	1	1	2	1	2	3	2	2	2	1	1	3	1	1	1	2	2	1	1	3	3	1	1	2	1	3	1	1	1	1	3	1	2	1	2	2	3	1	1	3	1	3	3	3	3	3	3	3	1	1	1	1	1	3	2	1	"3305"	1	4	95	2005	1	2	1	1	1	1	2	2	1	2	2	2	2	2	1	2	1	2	3	2	1	1	1	3	3	2	2	1	1	2	1	1	1	2	1	1	2	2	1	2	3	1	3	3	1	3	2	1	3	1	2	1	2	3	3	3	2	4	95	2013	1	2	1	1	1	1	2	1	2	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	2	2	1	1	1	1	1	2	3	3	2	2	1	2	1	1	1	3	1	3	3	3	2	3	1	2	1	3	1	1	2	2	2	2	2	1	1	3	3	3	3									3	3	3	3									1	3	3	1	3	3	1	1			1			3							1	1	1	3	3	3	1	3	3	3				3		3	3				3		0.6666666865348816	"33051050"
"163"	"1631011"	"163"	1	3	95	2002	1	1	1	2	2	2	2	2	2	1	2	1	1	1	2	2	2	3	2	2	2	2	2	2	2	3	2	1	2	1	1	2	2	2	2	2	2	2	2	3	3	1	3	3	3	3	1	3	95	2002	1	2	2	3	1	1	3	3	2	2	2	2	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	3	2	1	2	2	3	2	2	2	2	2	3	2	2	3	1	3	3	3	3	3	3	3	2	2	2	2	1	3	2	1	"3303"	1	4	7	2011	1	2	1	1	2	2	1	2	1	3	2	2	2	2	2	2	3	2	3	2	2	2	1	3	3	1	2	2	1	2	2	2	3	3	1	1	1	2	3	3	3	3	3	3	3	3	1	2	2	1	2	2	2	3	3	3	1	4	7	2011	1	2	2	2	2	1	2	3	3	1	2	2	2	2	2	2	3	2	2	2	2	2	1	1	2	2	2	2	1	1	1	3	3	3	2	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	2	1	2	2	3	3	2	2	2	1	1	1	1	3	3	3	3	3	3	3	3	1	1	3	3	3	3			3	3			3	3	3	3	3	3	3															1	1	3	1	3	3	1	3	3		3			3	1	3		3			1	0.75	"33031011"
"163"	"1631021"	"163"	1	1	6	2011	1	1	1	1	1	2	2	1	2	2	1	1	1	1	2	2	2	3	1	1	3	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	3	3	3	3	3	3	3	1	1	6	2011	1	1	1	1	1	1	2	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	2	2	2	3	1	1	1	1	3	1	1	1	1	1	2	1	1	3	1	3	3	3	3	3	3	3	2	1	1	1	1	3	1	1	"3303"	1	4	95	2013	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	3	2	1	1	1	1	1	2	2	2	3	3	1	3	1	1	1	3	3	2	2	2	1	3	2	1	6	2011	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2	1	2	2	2	1	2	2	3	1	3	1	3	3	3	3	3	3	3	1	3	2	2	2	1	1	1	2	2	2	2	2	3	3	3	3									3	3	3	3									1	1	3	3	3	3	3	3	3						1	1						1	1	1	1	3	1	1	3	3	3	3		3	3	1	1	1	1		1	1	0.75	"33031021"
"164"	"1641011"	"164"	1	1	4	2007	1	1	2	3	1	2	3	1	2	2	2	1	2	2	2	2	3	3	2	2	3	2	2	1	2	3	2	1	2	3	1	1	1	2	2	2	2	2	1	3	3	1	3	3	3	3	1	1	4	2007	1	1	1	1	1	1	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	3	2	1	2	2	2	1	2	1	3	2	3	2	2	3	1	3	2	2	3	3	3	3	2	2	2	2	1	2	2	2	"3306"	1	4	7	2004	1	2	1	2	2	1	1	2	2	2	2	2	2	2	2	1	2	2	3	2	1	2	2	2	2	2	2	2	1	2	2	1	3	3	2	1	2	1	3	3	2	2	3	3	3	3	1	1	2	2	3	2	2	3	3	3	2	4	7	2004	1	1	2	1	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	2	2	1	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	2	1	2	3	2	2	2	3	1	3	1		3		3		1		1	3	3	1	1			1	1					1	1	1	1	3	3	1	1	3	3	3			3		3	1	3			3	1	1	3	1	1	1	1	1	1		1	3	3	1					1	1		0.75	"33061011"
"164"	"1641021"	"164"	1	1	6	1999	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2	3	2	3	3	2	2	1	2	3	2	1	2	1	1	2	2	2	3	1	1	1	2	3	3	1	2	3	3	3	1	1	6	1999	1	2	2	1	1	1	2	2	2	2	3	1	1	2	1	1	2	2	2	2	3	2	2	3	2	2	2	3	2	1	2	1	3	1	1	2	2	2	3	1	1	3	1	3	3	2	3	3	3	3	2	1	2	2	2	3	3	2	"3306"	1	4	6	2012	1	2	1	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	3	3	2	2	1	3	3	2	2	2	1	3	3	1	3	3	1	1	2	2	3	2	3	1	3	3	3	3	1	1	2	2	3	2	2	3	3	3	2	4	6	2008	1	2	2	2	1	2	2	1	1	1	2	1	2	2	1	2	1	1	2	1	2	2	3	3	3	2	1	1	1	1	2	1	2	3	2	1	1	1	1	3	3	3	3	3	3	3	3	3	1	2	1	3	1	1	2	1	2	3	2	2	2	1	1	3	1	3	1		3	1			1	3	1	1	1		3	3	3		1	1	1	3	3	3	1	3	3	1				1			1								1	1	3	1	3	1	3	1	3		3		1			1		1				0.75	"33061021"
"164"	"1641031"	"164"	1	1	6	1994	1	1	2	2	1	2	3	1	1	3	1	1	3	3	2	2	3	3	3	3	3	1	2	1	3	3	3	1	3	2	2	1	2	2	3	3	3	1	1	3	3	3	3	3	3	3	1	1	6	1994	1	2	1	1	1	1	3	3	3	3	2	3	3	3	2	2	2	2	3	3	2	3	2	3	2	3	3	3	2	1	2	2	3	2	3	2	2	2	3	3	2	3	2	3	3	3	3	2	3	3	2	2	2	2	3	3	2	2	"3306"	1	4	95	2010	1	2	2	2	2	1	2	2	1	2	1	1	2	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	1	2	2	3	1	1	2	2	1	2	2	1	3	1	1	3	1	1	2	1	2	2	2	3	3	3	1	4	95	2010	1	2	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	2	2	1	1	2	2	2	2	1	1	1	1	1	1	1	3	1	1	2	2	1	2	1	2	3	2	3	2	2	3	1	2	1	2	1	1	2	1	2	2	2	1	2	3	1	1	1		1	3	3			1	3	1	3	1	1	3		1	3	1			1	3	3	1	3	3	1	3			3			3				1			3		1	1	1	1	1	1	1	3	1	3	1	1	3	3	1		1			1	1	0.75	"33061031"
"165"	"1651011"	"165"	1	3	95	2006	1	1	2	1	1	2	2	2	2	1	2	1	2	2	2	2	2	3	2	2	3	2	2	1	2	2	2	1	2	1	1	3	1	2	2	1	1	1	1	3	3	1	3	3	3	3	1	3	95	2006	1	2	2	1	2	1	2	2	1	3	3	2	2	2	1	2	2	2	3	2	3	3	3	3	2	2	2	3	1	1	1	1	3	2	2	2	2	1	3	2	2	3	3	3	3	3	3	3	3	3	2	1	1	1	3	3	2	1	"3307"	1	4	95	2014	1	1	1	1	3	1	1	1	2	2	3	1	3	1	1	2	2	3	3	3	1	2	1	3	3	1	1	1	2	1	3	2	3	3	2	2	1	1	3	2	3	3	3	3	1	3	1	1	2	3	1	2	2	3	3	3	2	4	95	2014	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	3	1	3	3	3	2	2	2	2	1	1	1	2	3	3	2	2	2	3	1	3	3	3	3	3	3	2	2	3	1	3	2	3	3	1	2	1	3	2	2	2	2	3	3	3	3									3	3	3	3									3	3	3	3	3	3	3															3	3	3	3	1	3	3					1										0.27272728085517883	"33071011"
"165"	"1651101"	"165"	1	3	95	1997	1	1	1	2	2	2	1	2	2	2	1	1	2	2	2	2	1	3	3	3	3	2	2	1	2	3	3	2	1	2	2	2	1	2	2	3	3	1	1	3	3	1	3	3	3	3	1	3	95	1997	1	2	2	1	1	2	1	2	3	3	2	1	1	2	1	1	2	3	3	3	2	2	2	2	3	3	3	3	2	1	2	2	3	2	2	2	2	2	3	2	2	3	1	3	2	3	2	2	1	2	3	2	2	2	2	3	2	2	"3307"	1	4	95	2014	1	1	1	1	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	1	2	2	3	3	2	2	2	1	2	1	1	1	3	1	1	1	1	2	1	1	1	1	3	1	3	2	1	1	1	3	1	2	3	3	3	2	4	95	2014	1	2	2	2	2	2	2	2	2	1	2	2	2	3	2	1	2	2	2	1	1	3	3	3	2	3	3	2	1	1	1	1	2	1	2	1	2	1	1	3	3	3	3	3	3	2	2	3	1	3	1	3	2	2	1	1	2	2	2	2	1	1	3	1	3	3		3		1		1		1	1	3	3	3	3			1	1			3	3	3	3	3	1	3						1									1	3	3	3	1	1	1	1				1	1	1								0.27272728085517883	"33071101"
"165"	"1651503"	"165"	1	3	6	2013	1	1	1	2	1	1	3	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	2	1	1	3	1	2	1	1	1	3	1	2	2	1	2	1	2	1	2	1	1	3	1	3	1	3	6	2013	1	1	2	1	1	1	1	1	2	3	2	3	2	3	1	1	1	1	3	2	1	2	2	1	3	3	3	3	1	1	1	1	3	2	3	3	3	3	3	2	2	3	1	3	1	3	3	3	1	3	2	1	1	3	1	1	1	1	"3307"	1	4	6	2013	1	1	1	1	1	1	2	2	1	2	1	1	2	1	2	1	1	2	3	3	1	2	1	2	3	1	2	1	2	2	3	1	3	3	1	1	1	1	1	3	3	1	3	3	3	3	1	1	1	1	3	2	2	3	3	3	2	4	6	2013	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	1	1	1	1	1	3	3	3	1	1	1	2	1	1	1	2	3	2	1	2	1	1	1	3	1	3	3	3	1	3	1	3	1	3	1	1	2	1	2	2	2	3	2	1	2	3	3	3	3									3	3	3	3									1	3	3	3	3	1	3	3					3		1					1		1	1	3	3	3	3	1	3	3					3	1	1					1	0.27272728085517883	"33071503"
"166"	"1661011"	"166"	1	4	95	2013	3	1	1	3	3	1	3	2	2	2	1	1	2	2	2	2	2	3	2	2	3	1	2	1	3	3	1	2	3	3	2	1	1	2	2	1	3	1	1	3	3	3	3	3	3	3	1	4	95	2013	3	2	2	1	1	1	3	3	1	3	3	2	2	2	2	1	1	2	2	2	3	3	3	2	2	3	2	3	1	1	1	1	1	2	3	2	2	1	3	2	2	3	1	3	2	3	3	3	3	3	2	1	2	3	3	3	3	2	"3308"	1	4	95	2008	1	1	1	1	1	1	1	1	1	2	3	1	1	1	2	3	2	2	2	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	3	1	3	1	1	1	1	2	2	3	3	3	3	1	4	95	2008	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	3	3	2	1	1	1	1	1	1	1	3	3	2	1	2	3	1	3	3	3	3	3	3	2	3	3	1	3	1	2	1	1	1	1	3	3	1	1	1																									1	3	3	3	3	3	3	3							1							1	1	3	3	3	3	1	1	3					1		1						0.375	"33081011"
"166"	"1661033"	"166"	1	1	6	1997	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	3	1	3	1	2	2	2	2	1	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	3	3	1	3	1	1	6	1997	1	2	2	1	1	2	2	2	1	2	2	1	2	2	1	1	2	2	2	1	1	2	2	1	1	1	1	3	1	1	1	1	3	2	1	1	1	2	3	1	2	3	1	3	1	1	3	1	1	2	2	2	2	1	1	2	3	3	"3308"	1	4	7	2007	1	1	1	1	3	2	1	2	1	2	1	1	1	2	2	2	2	2	2	2	1	1	2	1	2	2	2	1	1	1	2	1	2	2	2	1	2	2	1	2	2	2	1	3	1	2	2	2	2	1	3	2	2	3	3	3	2	4	7	2007	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	3	1	1	2	1	1	1	1	3	3	2	1	2	1	1	2	3	2	2	3	2	2	2	1	2	1	2	1	1	2	2	3	2	1	1	2	1	3	3	1	1			3				1	3	1	3	1		1		1					1	1	1	3	3	1	3	1	3	3			3			1	1			1		1	1	3	3	1	1	1	3	3			1	3	3	1	1				1	1	0.375	"33081033"
